,TAZ_zone97,COType,TargetAudience_csv_TA
49,551,HH,1081
50,280,HH,1462
51,279,HH,1946
130,293,HH,467
136,545,HH,641
137,544,HH,385
138,543,HH,249
139,542,HH,2332
140,541,HH,1072
141,540,HH,1890
142,539,HH,1242
143,538,HH,1494
144,536,HH,1070
145,535,HH,2320
146,534,HH,1626
147,533,HH,311
148,532,HH,1342
149,278,HH,1075
150,276,HH,508
151,254,HH,972
197,139,HH,1252
203,132,HH,1162
261,305,HH,454
263,303,HH,579
264,292,HH,529
266,285,HH,458
269,281,HH,2193
270,270,HH,1380
271,269,HH,1084
299,235,HH,596
345,566,HH,2115
351,239,HH,598
352,253,HH,2233
357,295,HH,1386
377,537,HH,196
378,547,HH,1527
379,549,HH,717
380,554,HH,835
381,550,HH,632
382,557,HH,2327
390,577,HH,1910
392,277,HH,1484
393,287,HH,465
396,271,HH,1264
397,268,HH,921
398,266,HH,490
399,265,HH,1332
401,263,HH,545
444,632,HH,1423
445,267,HH,1746
456,249,HH,1361
459,251,HH,1083
461,628,HH,698
463,630,HH,1812
464,553,HH,1420
466,559,HH,1292
467,687,HH,1820
469,634,HH,947
470,286,HH,776
474,142,HH,653
