,SOURCE_ID,TAZ_zone97,COType,TargetAudi
0,50.0,551,HH,6461.0
1,51.0,280,HH,8849.0
2,52.0,279,HH,12578.0
3,131.0,293,HH,3131.0
4,137.0,545,HH,4347.0
5,138.0,544,HH,2356.0
6,139.0,543,HH,1516.0
7,140.0,542,HH,14734.0
8,141.0,541,HH,6462.0
9,142.0,540,HH,11817.0
10,143.0,539,HH,7345.0
11,144.0,538,HH,9522.0
12,145.0,536,HH,6867.0
13,146.0,535,HH,14878.0
14,147.0,534,HH,9863.0
15,148.0,533,HH,1804.0
16,149.0,532,HH,8529.0
17,150.0,278,HH,6655.0
18,151.0,276,HH,3158.0
19,152.0,254,HH,5964.0
20,198.0,139,HH,8235.0
21,204.0,132,HH,7341.0
22,262.0,305,HH,2613.0
23,264.0,303,HH,3938.0
24,265.0,292,HH,3648.0
25,267.0,285,HH,2987.0
26,270.0,281,HH,14652.0
27,271.0,270,HH,8389.0
28,272.0,269,HH,6509.0
29,300.0,235,HH,3549.0
30,346.0,566,HH,6426.0
31,352.0,239,HH,4435.0
32,353.0,253,HH,13709.0
33,358.0,295,HH,9627.0
34,378.0,537,HH,1461.0
35,379.0,547,HH,7998.0
36,380.0,549,HH,3691.0
37,381.0,554,HH,4937.0
38,382.0,550,HH,3611.0
39,383.0,557,HH,12631.0
40,391.0,577,HH,12164.0
41,393.0,277,HH,9063.0
42,394.0,287,HH,2716.0
43,397.0,271,HH,8552.0
44,398.0,268,HH,6025.0
45,399.0,266,HH,3285.0
46,400.0,265,HH,8149.0
47,402.0,263,HH,3683.0
48,445.0,632,HH,8097.0
49,446.0,267,HH,11631.0
50,457.0,249,HH,8695.0
51,460.0,251,HH,6705.0
52,462.0,628,HH,3674.0
53,464.0,630,HH,9962.0
54,465.0,553,HH,8346.0
55,467.0,559,HH,6515.0
56,468.0,687,HH,10062.0
57,470.0,634,HH,5443.0
58,471.0,286,HH,4939.0
59,475.0,142,HH,3889.0
